,Train_filename,Gen_filename,Train_duration,Gen_duration,Difference
18632,b-1_1919-2017_1999.wav,VTTS_b-1_1919-2017_1999.wav,1590,1800,-210
18633,b-3_3279-3363_3295.wav,VTTS_b-3_3279-3363_3295.wav,3420,3065,355
18634,b-4_1901-2000_1988.wav,VTTS_b-4_1901-2000_1988.wav,2870,2496,374
18635,b-1_1717-1817_1730.wav,VTTS_b-1_1717-1817_1730.wav,2350,3100,-750
18636,b-1_1515-1615_1571.wav,VTTS_b-1_1515-1615_1571.wav,2250,2067,183
18637,b-2_509-610_584.wav,VTTS_b-2_509-610_584.wav,5970,5666,304
18638,b-1_794-1009_944.wav,VTTS_b-1_794-1009_944.wav,2160,1916,244
18639,b-2_509-610_548.wav,VTTS_b-2_509-610_548.wav,3750,3437,313
18640,b-4_1601-1706_1663.wav,VTTS_b-4_1601-1706_1663.wav,4090,3901,189
18641,b-2_1325-1426_1325.wav,VTTS_b-2_1325-1426_1325.wav,1800,3634,-1834
18642,b-1_3026-3126_3077.wav,VTTS_b-1_3026-3126_3077.wav,4670,4296,374
18643,b-4_301-400_362.wav,VTTS_b-4_301-400_362.wav,1530,1521,9
18644,b-1_2624-2724_2714.wav,VTTS_b-1_2624-2724_2714.wav,3830,4644,-814
18645,b-4_2000-5164_3410.wav,VTTS_b-4_2000-5164_3410.wav,2749,2659,90
18646,b-1_175-275_183.wav,VTTS_b-1_175-275_183.wav,3300,3344,-44
18647,b-2_1801-1902_1846.wav,VTTS_b-2_1801-1902_1846.wav,4910,4017,893
18648,b-3_2524-2854_2795.wav,VTTS_b-3_2524-2854_2795.wav,7600,6908,692
18649,b-1_4070-4105_4091.wav,VTTS_b-1_4070-4105_4091.wav,4110,4528,-418
18650,b-3_1960-2000_1969.wav,VTTS_b-3_1960-2000_1969.wav,10860,11610,-750
18651,b-1_1515-1615_1523.wav,VTTS_b-1_1515-1615_1523.wav,1910,1660,250
18652,b-1_74-174_98.wav,VTTS_b-1_74-174_98.wav,2110,2543,-433
18653,b-1_2523-2623_2597.wav,VTTS_b-1_2523-2623_2597.wav,1360,1300,60
18654,b-1_2725-2825_2808.wav,VTTS_b-1_2725-2825_2808.wav,1610,1474,136
18655,b-4_501-1014_887.wav,VTTS_b-4_501-1014_887.wav,9380,8522,858
18656,b-1_1919-2017_1925.wav,VTTS_b-1_1919-2017_1925.wav,1820,2055,-235
18657,b-4_1301-1400_1399.wav,VTTS_b-4_1301-1400_1399.wav,4560,3994,566
18658,b-3_5639-5744_5733.wav,VTTS_b-3_5639-5744_5733.wav,3180,3286,-106
18659,b-3_1862-1959_1953.wav,VTTS_b-3_1862-1959_1953.wav,5690,5712,-22
18660,b-3_4607-5008_4770.wav,VTTS_b-3_4607-5008_4770.wav,5350,6142,-792
18661,b-3_2943-3024_2968.wav,VTTS_b-3_2943-3024_2968.wav,5180,5132,48
18662,b-3_4498-4605_4580.wav,VTTS_b-3_4498-4605_4580.wav,6680,5724,956
18663,b-1_2624-2724_2658.wav,VTTS_b-1_2624-2724_2658.wav,2760,2972,-212
18664,b-4_1707-1813_1806.wav,VTTS_b-4_1707-1813_1806.wav,1990,1440,550
18665,b-1_2321-2421_2413.wav,VTTS_b-1_2321-2421_2413.wav,1360,1347,13
18666,b-3_1960-2000_1974.wav,VTTS_b-3_1960-2000_1974.wav,860,778,82
18667,b-2_917-1018_962.wav,VTTS_b-2_917-1018_962.wav,5240,6571,-1331
18668,b-2_815-916_855.wav,VTTS_b-2_815-916_855.wav,3700,5294,-1594
18669,b-4_1814-1900_1863.wav,VTTS_b-4_1814-1900_1863.wav,7720,11610,-3890
18670,b-3_501-930_846.wav,VTTS_b-3_501-930_846.wav,8820,8522,298
18671,b-4_2000-5164_2614.wav,VTTS_b-4_2000-5164_2614.wav,7330,8069,-739
18672,b-1_478-578_518.wav,VTTS_b-1_478-578_518.wav,1460,2055,-595
18673,b-2_1223-1324_1300.wav,VTTS_b-2_1223-1324_1300.wav,1060,1115,-55
18674,b-1_2624-2724_2682.wav,VTTS_b-1_2624-2724_2682.wav,3450,3553,-103
18675,b-3_4498-4605_4522.wav,VTTS_b-3_4498-4605_4522.wav,2490,3715,-1225
18676,b-4_2000-5164_4688.wav,VTTS_b-4_2000-5164_4688.wav,4312,4389,-77
18677,b-2_611-712_637.wav,VTTS_b-2_611-712_637.wav,2780,2357,423
18678,b-1_4034-4069_4059.wav,VTTS_b-1_4034-4069_4059.wav,2440,2717,-277
18679,b-3_4607-5008_4668.wav,VTTS_b-3_4607-5008_4668.wav,3090,2543,547
18680,b-1_2624-2724_2665.wav,VTTS_b-1_2624-2724_2665.wav,3540,3379,161
18681,b-2_1223-1324_1237.wav,VTTS_b-2_1223-1324_1237.wav,2260,3982,-1722
18682,b-3_501-930_786.wav,VTTS_b-3_501-930_786.wav,10150,9985,165
18683,b-1_3632-3732_3723.wav,VTTS_b-1_3632-3732_3723.wav,3450,3390,60
18684,b-1_3026-3126_3061.wav,VTTS_b-1_3026-3126_3061.wav,6070,5968,102
